movieId,title,genres,description,rating,popularity,release_year
1,Interstellar,Sci-Fi|Adventure|Drama,In a dystopian future where Earth is dying a team of astronauts and explorers travels through a newly discovered wormhole in space to find a habitable new home and planet for humanity dealing with black holes and gravity.,8.7,98.5,2014
2,Inception,Sci-Fi|Action|Thriller,A professional thief specializing in subconscious corporate espionage extracts valuable secrets from deep within the dreams of targets through nested dream layers and sub-conscious realities.,8.8,97.2,2010
3,The Dark Knight,Action|Crime|Drama,When the menace known as the Joker wreaks havoc and chaos on the citizens of Gotham City Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.,9.0,99.1,2008
4,Blade Runner 2049,Sci-Fi|Drama|Mystery,In a futuristic neon-drenched cyberpunk society a replicant blade runner Officer K unearths a long-buried secret about androids that could plunge what is left of human society into absolute chaos.,8.0,91.4,2017
5,The Matrix,Sci-Fi|Action,A computer hacker Thomas Anderson operating under the alias Neo discovers that his everyday reality is actually a simulated virtual reality created by sentient cybernetic machines to harvest human energy.,8.7,96.3,1999
6,Avatar: The Way of Water,Sci-Fi|Adventure|Action,Jake Sully lives with his newfound family on the beautiful alien planet of Pandora. When a familiar human military threat returns to colonize Jake must lead the Na'vi ocean reef clans to protect their home.,7.6,93.0,2022
7,Spirited Away,Animation|Fantasy|Family,During her family's move to the suburbs a 10-year-old girl wanders into a magical world ruled by gods spirits and witches where she must take a job in a mystical bathhouse to rescue her transformed parents.,8.6,94.2,2001
8,Spider-Man: Into the Spider-Verse,Animation|Action|Adventure,Teenager Miles Morales becomes the new Spider-Man of his universe but soon discovers a collider built by Kingpin has ruptured the space-time continuum pulling alternate spider heroes from parallel dimensions.,8.4,95.5,2018
9,Whiplash,Drama|Music,A promising young jazz drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an abusive ruthless instructor who drives him to absolute obsession and perfection.,8.5,92.1,2014
10,La La Land,Drama|Comedy|Romance,While navigating their careers in Los Angeles Sebastian a passionate jazz pianist and Mia an aspiring actress fall in love while reconciling their romantic relationship with their individual artistic dreams.,8.0,93.4,2016
11,Dune: Part Two,Sci-Fi|Adventure|Drama,Paul Atreides unites with Chani and the Fremen desert warriors while seeking revenge against the conspirators who destroyed his family to prevent a terrible future only he can foresee on Arrakis.,8.6,99.4,2024
12,The Grand Budapest Hotel,Comedy|Drama,A writer encounters the owner of a aging high-class European resort who tells him of his early years as a lobby boy mentored by the eccentric concierge Gustave H involving a painting heist.,8.1,90.3,2014
13,Parasite,Thriller|Drama|Comedy,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan operating as impostors in their luxury household.,8.5,96.8,2019
14,Shutter Island,Mystery|Thriller|Drama,A U.S. Marshal Teddy Daniels is assigned to investigate the mysterious disappearance of a patient from Ashecliffe Hospital a fortress-like mental institution facing intense storms and psychological illusions.,8.2,94.5,2010
15,Get Out,Horror|Mystery|Thriller,A young African-American Chris visits his white girlfriend's parents for a weekend getaway in an secluded estate where he uncovers a disturbing psychological and physical body-swap conspiracy.,7.7,91.8,2017
16,The Silence of the Lambs,Thriller|Crime|Mystery,A brilliant FBI cadet Clarice Starling must seek the help and counsel of an incarcerated serial killer Hannibal Lecter to catch another active serial killer who skins his victims.,8.6,93.2,1991
17,Ex Machina,Sci-Fi|Thriller|Mystery,A young programmer Caleb is selected to perform a Turing test on Ava a highly sophisticated humanoid robot with self-aware AI capabilities at a secluded high-tech mountain retreat.,7.7,92.5,2014
18,Arrival,Sci-Fi|Mystery|Drama,A professional linguistics professor Louise Banks leads an elite team of investigators when twelve mysterious alien spacecraft land across the globe racing to translate the complex circular alien language.,7.9,93.6,2016
19,The Prestige,Drama|Mystery|Thriller,In 19th-century London two stage magicians Alfred Borden and Robert Angier develop an intense bitter rivalry to create the ultimate teleportation illusion using scientific breakthroughs by Tesla.,8.5,95.2,2006
20,Your Name.,Animation|Romance|Fantasy|Drama,Two complete strangers a girl living in a rural shrine town and a boy attending high school in bustling Tokyo suddenly begin to swap bodies inexplicably before a cosmic comet event threatens them.,8.4,93.8,2016
21,Eternal Sunshine of the Spotless Mind,Drama|Romance|Sci-Fi,When their passionate relationship turns sour Joel and Clementine undergo a cutting-edge medical procedure to erase each other from their memories launching a chase deep inside Joel's subconscious.,8.3,92.4,2004
22,WALL-E,Animation|Sci-Fi|Family,In the distant future a waste-collecting robot WALL-E is left alone on trash-covered Earth until he falls in love with Eve a state-of-the-art probe sent to find signs of biological plant life.,8.4,94.6,2008
23,Knives Out,Comedy|Mystery|Crime,When a wealthy crime novelist dies under mysterious circumstances at his estate southern detective Benoit Blanc is enlisted to sift through a web of family rivalries lies and greed.,7.9,94.0,2019
24,The Conjuring,Horror|Mystery,Paranormal investigators Ed and Lorraine Warren help a family experiencing terrifying supernatural occurrences in their isolated farmhouse confronting a powerful demonic entity.,7.5,90.2,2013
25,Gladiator,Action|Adventure|Drama,A former Roman General Maximus Decimus Meridius is betrayed by the corrupt Commodus and sold as a gladiator rising through the ranks of the Colosseum arena to avenge his family's murder.,8.5,95.8,2000
